tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,churn
51,39.26,2002.26,two_year,electronic_check,0,0
20,35.4,708.0,month_to_month,credit_card,0,1
57,62.28,3549.96,month_to_month,bank_transfer,3,0
41,81.97,3360.77,one_year,electronic_check,1,0
34,113.29,3851.86,one_year,electronic_check,1,0
37,118.08,4368.96,month_to_month,credit_card,1,1
41,26.96,1105.36,one_year,electronic_check,3,0
3,33.8,101.4,month_to_month,bank_transfer,3,1
11,99.07,1089.77,one_year,electronic_check,2,1
18,47.06,847.08,month_to_month,credit_card,1,1
9,108.48,976.32,month_to_month,bank_transfer,1,1
32,86.35,2763.2,month_to_month,bank_transfer,1,0
49,31.18,1527.82,month_to_month,credit_card,1,0
48,103.25,4956.0,month_to_month,bank_transfer,1,0
34,37.64,1279.76,month_to_month,bank_transfer,0,1
62,62.35,3865.7,month_to_month,bank_transfer,3,0
41,75.22,3084.02,month_to_month,credit_card,0,0
6,70.08,420.48,one_year,bank_transfer,0,0
56,88.62,4962.72,month_to_month,credit_card,3,0
42,85.27,3581.34,one_year,electronic_check,2,0
46,119.2,5483.2,two_year,electronic_check,1,0
41,119.94,4917.54,month_to_month,credit_card,2,1
40,71.65,2866.0,two_year,credit_card,3,1
7,29.52,206.64,month_to_month,credit_card,0,1
41,92.78,3803.98,month_to_month,bank_transfer,2,1
58,117.67,6824.86,one_year,electronic_check,1,0
22,51.83,1140.26,one_year,bank_transfer,1,0
44,66.12,2909.28,two_year,credit_card,1,0
3,62.48,187.44,month_to_month,credit_card,1,1
26,25.14,653.64,one_year,credit_card,0,0
32,87.23,2791.36,month_to_month,electronic_check,0,0
71,55.33,3928.43,month_to_month,bank_transfer,3,0
16,98.75,1580.0,month_to_month,bank_transfer,1,1
20,103.21,2064.2,two_year,credit_card,1,0
30,102.12,3063.6,month_to_month,electronic_check,4,1
72,61.67,4440.24,two_year,credit_card,0,0
62,52.15,3233.3,one_year,electronic_check,0,0
3,94.88,284.64,one_year,electronic_check,3,0
17,100.14,1702.38,one_year,bank_transfer,3,1
60,69.13,4147.8,two_year,electronic_check,0,0
5,109.3,546.5,month_to_month,credit_card,0,1
62,34.39,2132.18,month_to_month,bank_transfer,2,0
21,107.91,2266.11,one_year,credit_card,1,0
67,29.61,1983.87,month_to_month,bank_transfer,1,0
22,35.35,777.7,month_to_month,credit_card,0,1
32,73.38,2348.16,month_to_month,credit_card,2,1
48,26.75,1284.0,month_to_month,credit_card,0,0
10,25.28,252.8,month_to_month,credit_card,1,0
41,20.05,822.05,month_to_month,bank_transfer,0,0
37,63.63,2354.31,two_year,bank_transfer,0,0
57,97.46,5555.22,month_to_month,credit_card,3,0
72,23.48,1690.56,two_year,electronic_check,3,0
48,85.23,4091.04,two_year,electronic_check,1,0
30,102.31,3069.3,month_to_month,credit_card,2,1
30,36.8,1104.0,one_year,bank_transfer,3,0
31,34.69,1075.39,one_year,bank_transfer,2,0
59,106.08,6258.72,one_year,electronic_check,3,0
24,102.31,2455.44,month_to_month,credit_card,2,1
13,73.89,960.57,month_to_month,electronic_check,0,1
25,101.92,2548.0,month_to_month,credit_card,0,1
2,29.28,58.56,one_year,credit_card,1,0
8,59.45,475.6,two_year,electronic_check,1,1
7,93.78,656.46,one_year,bank_transfer,1,1
56,45.75,2562.0,one_year,electronic_check,4,0
53,95.23,5047.19,two_year,credit_card,0,0
51,70.42,3591.42,one_year,credit_card,0,0
34,95.03,3231.02,month_to_month,credit_card,1,1
52,66.47,3456.44,two_year,credit_card,1,0
12,56.79,681.48,month_to_month,credit_card,4,1
65,41.92,2724.8,month_to_month,bank_transfer,0,0
37,40.84,1511.08,one_year,bank_transfer,2,0
68,95.15,6470.2,two_year,bank_transfer,2,0
11,31.89,350.79,month_to_month,credit_card,1,1
36,28.6,1029.6,month_to_month,credit_card,4,1
51,37.63,1919.13,month_to_month,bank_transfer,0,0
36,37.53,1351.08,month_to_month,credit_card,2,0
33,102.31,3376.23,month_to_month,electronic_check,0,0
12,59.85,718.2,one_year,credit_card,2,0
28,119.04,3333.12,two_year,bank_transfer,0,0
18,33.72,606.96,month_to_month,electronic_check,0,1
22,85.35,1877.7,month_to_month,bank_transfer,2,1
50,64.87,3243.5,month_to_month,bank_transfer,2,1
46,59.29,2727.34,month_to_month,bank_transfer,1,0
44,107.51,4730.44,one_year,credit_card,1,0
27,117.56,3174.12,one_year,bank_transfer,2,0
70,107.29,7510.3,one_year,electronic_check,3,0
7,39.23,274.61,month_to_month,electronic_check,1,1
25,42.08,1052.0,one_year,bank_transfer,0,0
9,85.61,770.49,month_to_month,credit_card,0,1
25,48.91,1222.75,month_to_month,electronic_check,0,1
70,93.47,6542.9,two_year,bank_transfer,3,0
27,76.64,2069.28,one_year,credit_card,2,1
66,75.09,4955.94,two_year,credit_card,2,0
36,102.85,3702.6,two_year,credit_card,2,0
51,91.05,4643.55,one_year,bank_transfer,2,0
33,22.66,747.78,two_year,credit_card,4,0
20,24.95,499.0,month_to_month,credit_card,1,0
56,80.16,4488.96,month_to_month,credit_card,3,1
70,68.62,4803.4,month_to_month,electronic_check,2,0
19,46.02,874.38,month_to_month,credit_card,0,1
57,61.87,3526.59,month_to_month,credit_card,1,0
19,95.79,1820.01,month_to_month,bank_transfer,0,0
52,102.66,5338.32,one_year,credit_card,0,0
57,76.12,4338.84,one_year,electronic_check,1,0
33,58.54,1931.82,one_year,electronic_check,2,0
54,47.07,2541.78,month_to_month,bank_transfer,0,0
20,72.19,1443.8,one_year,bank_transfer,0,0
6,51.47,308.82,month_to_month,credit_card,1,0
7,76.41,534.87,month_to_month,credit_card,2,1
33,87.67,2893.11,month_to_month,credit_card,1,0
65,26.61,1729.65,month_to_month,credit_card,2,0
10,20.11,201.1,month_to_month,credit_card,3,1
33,41.23,1360.59,two_year,bank_transfer,1,0
51,109.45,5581.95,one_year,credit_card,0,0
15,84.63,1269.45,one_year,credit_card,0,0
52,37.2,1934.4,month_to_month,bank_transfer,2,0
23,109.03,2507.69,two_year,bank_transfer,0,0
59,67.0,3953.0,one_year,credit_card,2,0
42,67.61,2839.62,month_to_month,credit_card,4,0
40,113.55,4542.0,one_year,credit_card,0,0
13,25.95,337.35,month_to_month,credit_card,1,1
34,41.52,1411.68,month_to_month,electronic_check,1,0
62,78.58,4871.96,month_to_month,electronic_check,5,0
2,39.55,79.1,one_year,bank_transfer,1,0
55,87.95,4837.25,month_to_month,bank_transfer,2,0
36,41.41,1490.76,month_to_month,electronic_check,0,0
52,29.92,1555.84,month_to_month,bank_transfer,1,0
48,40.7,1953.6,two_year,credit_card,1,0
32,62.27,1992.64,month_to_month,credit_card,2,0
23,37.61,865.03,month_to_month,bank_transfer,0,0
46,33.47,1539.62,month_to_month,bank_transfer,3,0
11,106.03,1166.33,two_year,credit_card,5,1
43,52.04,2237.72,one_year,credit_card,2,0
7,56.08,392.56,two_year,credit_card,6,0
47,25.53,1199.91,month_to_month,credit_card,0,0
46,55.74,2564.04,month_to_month,bank_transfer,2,0
7,46.48,325.36,one_year,bank_transfer,2,0
55,81.05,4457.75,month_to_month,bank_transfer,2,0
30,40.54,1216.2,two_year,credit_card,3,0
57,108.84,6203.88,two_year,credit_card,1,0
3,112.97,338.91,month_to_month,electronic_check,0,1
13,29.98,389.74,two_year,bank_transfer,1,0
36,30.74,1106.64,one_year,credit_card,2,0
14,31.53,441.42,month_to_month,credit_card,4,1
24,81.96,1967.04,month_to_month,electronic_check,0,0
48,32.2,1545.6,month_to_month,electronic_check,0,1
11,105.24,1157.64,two_year,electronic_check,3,1
49,95.43,4676.07,month_to_month,bank_transfer,0,0
8,101.98,815.84,month_to_month,bank_transfer,2,1
13,72.61,943.93,one_year,bank_transfer,1,0
43,119.67,5145.81,month_to_month,credit_card,0,1
58,24.42,1416.36,month_to_month,bank_transfer,1,0
13,60.13,781.69,one_year,bank_transfer,2,0
22,52.39,1152.58,month_to_month,credit_card,1,1
67,114.86,7695.62,month_to_month,electronic_check,0,0
72,77.69,5593.68,month_to_month,credit_card,3,0
42,100.62,4226.04,month_to_month,credit_card,3,0
33,37.03,1221.99,month_to_month,credit_card,1,0
25,117.86,2946.5,one_year,electronic_check,2,0
45,69.86,3143.7,two_year,electronic_check,3,1
43,69.37,2982.91,month_to_month,bank_transfer,2,0
22,117.09,2575.98,two_year,electronic_check,1,1
2,58.07,116.14,one_year,electronic_check,6,1
11,59.75,657.25,one_year,electronic_check,0,0
70,78.48,5493.6,one_year,electronic_check,3,0
31,32.81,1017.11,one_year,credit_card,1,0
35,52.11,1823.85,two_year,electronic_check,1,0
34,39.32,1336.88,month_to_month,bank_transfer,1,0
57,30.33,1728.81,one_year,electronic_check,1,0
5,106.61,533.05,month_to_month,credit_card,1,1
6,78.93,473.58,month_to_month,electronic_check,1,1
20,55.87,1117.4,one_year,electronic_check,2,1
36,60.87,2191.32,month_to_month,credit_card,1,0
49,63.15,3094.35,month_to_month,electronic_check,0,1
36,83.31,2999.16,month_to_month,credit_card,1,0
32,112.68,3605.76,month_to_month,credit_card,3,1
68,113.28,7703.04,one_year,credit_card,1,0
12,59.15,709.8,one_year,electronic_check,0,1
42,52.93,2223.06,month_to_month,bank_transfer,3,0
40,65.1,2604.0,month_to_month,credit_card,0,0
35,76.79,2687.65,month_to_month,bank_transfer,1,0
59,66.18,3904.62,month_to_month,credit_card,2,0
20,85.88,1717.6,one_year,bank_transfer,0,0
69,75.44,5205.36,one_year,electronic_check,1,0
24,52.07,1249.68,month_to_month,bank_transfer,0,0
40,54.57,2182.8,month_to_month,electronic_check,2,0
38,57.86,2198.68,two_year,bank_transfer,1,0
62,29.46,1826.52,one_year,electronic_check,2,0
32,36.61,1171.52,month_to_month,credit_card,0,0
21,92.31,1938.51,month_to_month,credit_card,2,1
2,58.91,117.82,month_to_month,credit_card,4,1
27,41.45,1119.15,two_year,bank_transfer,1,0
60,76.27,4576.2,month_to_month,bank_transfer,2,0
1,95.55,95.55,month_to_month,electronic_check,4,1
65,45.74,2973.1,two_year,credit_card,0,0
40,102.68,4107.2,one_year,credit_card,1,0
11,112.75,1240.25,month_to_month,bank_transfer,2,1
22,79.74,1754.28,month_to_month,electronic_check,1,1
40,86.89,3475.6,month_to_month,credit_card,0,0
23,25.26,580.98,one_year,credit_card,3,0
8,114.55,916.4,month_to_month,credit_card,0,1
48,59.25,2844.0,two_year,bank_transfer,0,0
49,112.39,5507.11,two_year,credit_card,0,0
9,77.9,701.1,one_year,credit_card,3,1
21,20.46,429.66,one_year,bank_transfer,1,0
18,23.85,429.3,month_to_month,credit_card,2,1
48,88.04,4225.92,month_to_month,credit_card,1,1
53,76.27,4042.31,one_year,credit_card,3,0
53,22.65,1200.45,month_to_month,electronic_check,1,0
68,94.35,6415.8,month_to_month,bank_transfer,2,0
56,105.21,5891.76,month_to_month,credit_card,2,0
24,69.64,1671.36,month_to_month,credit_card,1,0
8,66.58,532.64,month_to_month,bank_transfer,1,1
45,20.55,924.75,one_year,electronic_check,0,0
66,98.66,6511.56,two_year,credit_card,2,0
71,53.07,3767.97,one_year,credit_card,0,0
17,107.88,1833.96,two_year,credit_card,2,1
18,57.31,1031.58,month_to_month,bank_transfer,1,1
3,76.51,229.53,two_year,electronic_check,0,1
11,47.03,517.33,one_year,bank_transfer,2,1
40,36.06,1442.4,month_to_month,credit_card,1,0
40,97.49,3899.6,two_year,electronic_check,3,1
27,69.66,1880.82,month_to_month,electronic_check,2,0
23,73.65,1693.95,month_to_month,credit_card,2,1
60,116.54,6992.4,month_to_month,credit_card,1,0
34,116.36,3956.24,month_to_month,credit_card,1,1
59,105.56,6228.04,month_to_month,electronic_check,2,0
70,38.76,2713.2,one_year,bank_transfer,2,0
23,79.43,1826.89,two_year,bank_transfer,1,1
15,107.81,1617.15,month_to_month,electronic_check,2,1
69,57.45,3964.05,one_year,credit_card,1,0
46,30.11,1385.06,month_to_month,credit_card,1,0
21,101.1,2123.1,two_year,credit_card,1,0
45,68.18,3068.1,month_to_month,electronic_check,1,1
38,76.44,2904.72,month_to_month,bank_transfer,3,1
66,118.21,7801.86,one_year,credit_card,1,0
19,80.72,1533.68,one_year,credit_card,1,0
72,62.5,4500.0,one_year,electronic_check,1,0
68,57.0,3876.0,one_year,electronic_check,2,0
14,61.76,864.64,one_year,bank_transfer,0,0
12,31.84,382.08,month_to_month,credit_card,2,0
39,99.48,3879.72,month_to_month,electronic_check,0,1
4,103.77,415.08,month_to_month,electronic_check,0,1
22,48.44,1065.68,month_to_month,bank_transfer,2,0
32,50.38,1612.16,month_to_month,bank_transfer,0,0
70,107.43,7520.1,month_to_month,electronic_check,1,0
72,22.4,1612.8,month_to_month,electronic_check,1,0
11,72.05,792.55,one_year,bank_transfer,4,1
65,66.37,4314.05,month_to_month,bank_transfer,0,0
7,89.01,623.07,one_year,credit_card,2,1
54,36.34,1962.36,one_year,electronic_check,1,0
61,86.83,5296.63,month_to_month,bank_transfer,0,0
65,57.67,3748.55,month_to_month,credit_card,4,0
17,81.87,1391.79,one_year,credit_card,0,0
65,24.01,1560.65,one_year,electronic_check,2,0
9,66.17,595.53,month_to_month,electronic_check,0,1
38,72.23,2744.74,month_to_month,electronic_check,2,1
34,41.43,1408.62,one_year,bank_transfer,4,0
23,33.96,781.08,one_year,electronic_check,3,0
2,38.85,77.7,month_to_month,electronic_check,1,1
56,54.41,3046.96,month_to_month,credit_card,5,0
25,29.68,742.0,two_year,credit_card,3,0
48,114.73,5507.04,month_to_month,electronic_check,3,1
30,60.5,1815.0,two_year,credit_card,0,0
27,100.9,2724.3,month_to_month,bank_transfer,1,0
64,117.44,7516.16,one_year,bank_transfer,1,0
7,28.07,196.49,month_to_month,bank_transfer,1,1
54,85.17,4599.18,month_to_month,credit_card,0,0
54,107.14,5785.56,two_year,electronic_check,1,0
28,83.42,2335.76,month_to_month,credit_card,0,0
19,62.9,1195.1,two_year,electronic_check,1,0
1,63.11,63.11,month_to_month,credit_card,1,1
68,23.59,1604.12,two_year,bank_transfer,2,0
69,73.46,5068.74,two_year,electronic_check,1,0
18,119.35,2148.3,one_year,credit_card,2,0
3,115.87,347.61,month_to_month,credit_card,4,1
9,24.04,216.36,one_year,electronic_check,2,1
5,90.58,452.9,one_year,credit_card,1,0
60,50.18,3010.8,two_year,credit_card,1,0
65,110.3,7169.5,month_to_month,bank_transfer,1,0
12,24.51,294.12,month_to_month,electronic_check,1,1
54,113.59,6133.86,month_to_month,bank_transfer,3,1
13,103.75,1348.75,one_year,credit_card,0,0
27,31.75,857.25,two_year,electronic_check,1,0
44,25.98,1143.12,month_to_month,bank_transfer,1,0
52,103.47,5380.44,one_year,bank_transfer,6,0
63,35.58,2241.54,two_year,bank_transfer,4,0
4,73.49,293.96,month_to_month,credit_card,6,1
15,111.57,1673.55,month_to_month,credit_card,1,1
21,76.74,1611.54,one_year,bank_transfer,1,0
23,59.72,1373.56,one_year,credit_card,1,0
72,64.5,4644.0,month_to_month,bank_transfer,3,1
56,26.31,1473.36,two_year,credit_card,0,0
24,116.88,2805.12,one_year,credit_card,4,1
70,51.07,3574.9,two_year,credit_card,4,0
36,38.94,1401.84,two_year,bank_transfer,0,0
37,48.6,1798.2,two_year,electronic_check,1,1
32,116.44,3726.08,one_year,credit_card,2,0
11,29.43,323.73,month_to_month,credit_card,0,0
68,106.73,7257.64,one_year,credit_card,2,0
2,90.78,181.56,month_to_month,electronic_check,1,1
13,103.0,1339.0,one_year,credit_card,3,1
17,117.59,1999.03,month_to_month,electronic_check,1,1
21,104.22,2188.62,one_year,credit_card,1,1
10,114.34,1143.4,month_to_month,credit_card,0,1
2,32.69,65.38,month_to_month,electronic_check,2,1
49,99.58,4879.42,month_to_month,bank_transfer,0,0
70,74.57,5219.9,one_year,credit_card,1,0
9,74.35,669.15,one_year,electronic_check,2,1
22,109.89,2417.58,month_to_month,credit_card,1,1
37,117.18,4335.66,two_year,credit_card,4,0
67,90.48,6062.16,two_year,credit_card,5,0
50,68.29,3414.5,month_to_month,bank_transfer,1,0
56,65.64,3675.84,one_year,electronic_check,2,0
42,58.63,2462.46,month_to_month,credit_card,3,1
31,56.16,1740.96,month_to_month,electronic_check,0,1
15,59.15,887.25,one_year,bank_transfer,1,0
63,28.98,1825.74,month_to_month,electronic_check,2,0
58,27.74,1608.92,two_year,electronic_check,1,0
2,97.99,195.98,two_year,electronic_check,2,1
52,64.61,3359.72,two_year,bank_transfer,3,0
7,113.07,791.49,one_year,credit_card,1,0
54,81.22,4385.88,one_year,bank_transfer,1,0
60,23.52,1411.2,two_year,bank_transfer,2,0
10,35.75,357.5,month_to_month,bank_transfer,1,1
32,40.58,1298.56,month_to_month,electronic_check,1,0
9,117.57,1058.13,one_year,credit_card,2,1
41,41.87,1716.67,month_to_month,electronic_check,1,1
67,71.58,4795.86,month_to_month,credit_card,2,0
6,113.62,681.72,month_to_month,electronic_check,0,1
29,117.72,3413.88,one_year,credit_card,0,0
71,43.64,3098.44,month_to_month,credit_card,3,0
22,24.91,548.02,month_to_month,electronic_check,1,1
10,35.36,353.6,month_to_month,electronic_check,2,1
36,26.33,947.88,month_to_month,electronic_check,2,0
37,39.51,1461.87,two_year,electronic_check,0,0
48,76.86,3689.28,month_to_month,credit_card,2,0
23,111.24,2558.52,one_year,electronic_check,2,1
69,73.72,5086.68,one_year,credit_card,2,0
38,82.6,3138.8,month_to_month,bank_transfer,2,1
21,40.19,843.99,two_year,bank_transfer,2,0
70,100.06,7004.2,one_year,credit_card,4,0
67,81.78,5479.26,one_year,bank_transfer,2,0
36,106.41,3830.76,month_to_month,electronic_check,2,0
2,114.88,229.76,month_to_month,credit_card,1,1
43,54.79,2355.97,two_year,electronic_check,1,0
40,29.06,1162.4,one_year,bank_transfer,1,0
11,42.59,468.49,two_year,credit_card,0,0
46,63.78,2933.88,two_year,bank_transfer,1,0
61,114.57,6988.77,month_to_month,credit_card,2,0
8,57.83,462.64,one_year,credit_card,4,1
53,97.08,5145.24,month_to_month,bank_transfer,1,1
11,74.05,814.55,one_year,credit_card,1,0
54,38.28,2067.12,month_to_month,credit_card,1,0
31,52.07,1614.17,month_to_month,electronic_check,2,1
1,85.32,85.32,one_year,credit_card,1,1
70,87.29,6110.3,one_year,electronic_check,3,0
12,63.48,761.76,one_year,electronic_check,1,1
43,42.86,1842.98,month_to_month,credit_card,3,1
14,92.19,1290.66,month_to_month,bank_transfer,1,1
68,36.89,2508.52,two_year,credit_card,2,0
54,113.67,6138.18,month_to_month,bank_transfer,2,0
58,38.79,2249.82,month_to_month,credit_card,2,0
32,30.73,983.36,one_year,electronic_check,2,0
34,69.76,2371.84,month_to_month,credit_card,4,1
46,71.95,3309.7,one_year,bank_transfer,1,0
57,70.82,4036.74,month_to_month,credit_card,0,0
61,63.67,3883.87,two_year,credit_card,2,0
2,119.48,238.96,two_year,bank_transfer,1,1
48,68.63,3294.24,two_year,bank_transfer,1,0
8,67.79,542.32,one_year,electronic_check,4,1
21,62.18,1305.78,month_to_month,credit_card,1,0
60,26.68,1600.8,one_year,credit_card,0,0
19,79.3,1506.7,two_year,credit_card,2,0
58,42.8,2482.4,one_year,credit_card,2,0
34,83.76,2847.84,one_year,electronic_check,2,0
17,25.08,426.36,one_year,electronic_check,0,0
25,118.14,2953.5,one_year,electronic_check,1,0
39,66.9,2609.1,one_year,credit_card,2,0
56,109.68,6142.08,month_to_month,bank_transfer,0,0
44,67.56,2972.64,month_to_month,electronic_check,3,1
68,26.03,1770.04,one_year,credit_card,3,0
63,102.22,6439.86,month_to_month,bank_transfer,0,0
55,84.82,4665.1,two_year,credit_card,4,0
44,98.18,4319.92,one_year,credit_card,0,0
21,62.82,1319.22,month_to_month,electronic_check,0,0
30,83.79,2513.7,two_year,credit_card,1,0
9,105.62,950.58,one_year,electronic_check,1,1
27,83.11,2243.97,one_year,credit_card,3,0
67,54.77,3669.59,month_to_month,credit_card,1,0
31,86.25,2673.75,two_year,credit_card,2,0
9,87.19,784.71,month_to_month,credit_card,0,1
47,116.06,5454.82,one_year,bank_transfer,5,0
70,57.09,3996.3,month_to_month,credit_card,2,0
63,62.51,3938.13,one_year,bank_transfer,0,0
20,101.21,2024.2,one_year,electronic_check,2,1
33,70.58,2329.14,one_year,credit_card,1,0
39,93.66,3652.74,month_to_month,credit_card,2,0
18,65.97,1187.46,two_year,bank_transfer,2,1
20,41.55,831.0,one_year,electronic_check,1,0
18,94.52,1701.36,month_to_month,bank_transfer,0,1
72,33.12,2384.64,two_year,credit_card,2,0
54,39.86,2152.44,one_year,bank_transfer,1,0
61,82.68,5043.48,two_year,bank_transfer,2,0
59,94.73,5589.07,two_year,credit_card,2,0
70,109.47,7662.9,two_year,credit_card,1,0
8,47.26,378.08,one_year,electronic_check,2,1
64,31.07,1988.48,one_year,credit_card,0,0
5,115.6,578.0,month_to_month,credit_card,2,1
35,35.44,1240.4,one_year,credit_card,2,0
43,39.77,1710.11,one_year,bank_transfer,3,0
26,49.13,1277.38,one_year,bank_transfer,1,0
11,72.94,802.34,two_year,credit_card,3,1
14,108.28,1515.92,month_to_month,bank_transfer,1,1
60,96.05,5763.0,month_to_month,bank_transfer,1,0
23,90.82,2088.86,one_year,credit_card,2,0
23,37.52,862.96,month_to_month,electronic_check,3,1
67,55.77,3736.59,month_to_month,credit_card,0,0
11,67.84,746.24,month_to_month,credit_card,1,1
66,34.74,2292.84,two_year,electronic_check,1,0
67,47.34,3171.78,month_to_month,electronic_check,2,0
44,50.83,2236.52,month_to_month,credit_card,2,0
12,32.73,392.76,month_to_month,electronic_check,2,1
12,75.02,900.24,month_to_month,bank_transfer,3,1
21,90.5,1900.5,month_to_month,credit_card,0,1
42,26.99,1133.58,one_year,electronic_check,0,0
12,68.11,817.32,one_year,electronic_check,3,0
33,98.22,3241.26,month_to_month,credit_card,3,1
9,94.8,853.2,one_year,bank_transfer,1,0
39,101.51,3958.89,month_to_month,credit_card,0,0
2,64.82,129.64,month_to_month,credit_card,2,1
52,102.06,5307.12,two_year,electronic_check,2,1
4,44.08,176.32,one_year,bank_transfer,2,0
15,56.08,841.2,two_year,bank_transfer,2,0
